,nan count by name
loan_amnt,3
term,3
int_rate,3
installment,3
emp_length,3594
home_ownership,3
annual_inc,3
verification_status,3
loan_status,3
pymnt_plan,3
purpose,3
title,559
zip_code,3
addr_state,3
dti,46
delinq_2yrs,3
fico_range_low,3
fico_range_high,3
inq_last_6mths,3
mths_since_last_delinq,29034
mths_since_last_record,47331
open_acc,3
pub_rec,3
revol_bal,3
revol_util,33
total_acc,3
initial_list_status,3
out_prncp,3
out_prncp_inv,3
total_pymnt,3
total_pymnt_inv,3
total_rec_prncp,3
total_rec_int,3
total_rec_late_fee,3
recoveries,3
collection_recovery_fee,3
last_pymnt_amnt,3
last_fico_range_high,3
last_fico_range_low,3
collections_12_mths_ex_med,4
mths_since_last_major_derog,41845
policy_code,3
application_type,3
verification_status_joint,53713
acc_now_delinq,3
tot_coll_amt,1710
tot_cur_bal,1710
open_acc_6m,21615
open_act_il,21615
open_il_12m,21615
open_il_24m,21615
mths_since_rcnt_il,22695
total_bal_il,21615
il_util,26714
open_rv_12m,21615
open_rv_24m,21615
max_bal_bc,21615
all_util,21616
total_rev_hi_lim,1710
inq_fi,21615
total_cu_tl,21615
inq_last_12m,21615
acc_open_past_24mths,1220
avg_cur_bal,1710
bc_open_to_buy,1836
bc_util,1862
chargeoff_within_12_mths,4
delinq_amnt,3
mo_sin_old_il_acct,3420
mo_sin_old_rev_tl_op,1710
mo_sin_rcnt_rev_tl_op,1710
mo_sin_rcnt_tl,1710
mort_acc,1220
mths_since_recent_bc,1791
mths_since_recent_bc_dlq,43390
mths_since_recent_inq,7309
mths_since_recent_revol_delinq,37967
num_accts_ever_120_pd,1710
num_actv_bc_tl,1710
num_actv_rev_tl,1710
num_bc_sats,1425
num_bc_tl,1710
num_il_tl,1710
num_op_rev_tl,1710
num_rev_accts,1710
num_rev_tl_bal_gt_0,1710
num_sats,1425
num_tl_120dpd_2m,3806
num_tl_30dpd,1710
num_tl_90g_dpd_24m,1710
num_tl_op_past_12m,1710
pct_tl_nvr_dlq,1712
percent_bc_gt_75,1849
pub_rec_bankruptcies,30
tax_liens,3
tot_hi_cred_lim,1710
total_bal_ex_mort,1220
total_bc_limit,1220
total_il_high_credit_limit,1710
disbursement_method,3
